#	Components for ITSTAR.MI
#	http://finance.yahoo.com/q/cp?s=ITSTAR.MI&c=1
#
#Symbol	Name	Last Trade	Change	Volume
ACO.MI	Acotel Group SpA	9.82 11:25AM EDT	Down 0.61 (5.80%)	12,419
AEF.MI	Aeffe S.p.A.	1.49 11:25AM EDT	Down 0.13 (8.14%)	417,337
AMP.MI	Amplifon SpA	6.86 11:24AM EDT	Down 0.22 (3.11%)	1,012,629
ASC.MI	Ascopiave S.p.A.	1.9970 11:25AM EDT	Down 0.0630 (3.06%)	437,723
AST.MI	Astaldi SpA	8.66 11:25AM EDT	Down 0.52 (5.66%)	586,793
BANZ.MI	Banzai S.p.A.	4.8540 11:25AM EDT	Down 0.1060 (2.14%)	99,819
BB.MI	BB Biotech AG	241.00 11:34AM EDT	Down 17.00 (6.59%)	34,469
BEC.MI	B&C Speakers S.p.A.	6.70 11:25AM EDT	Down 0.38 (5.37%)	12,535
BET.MI	Be Think Solve Execute SpA	0.50 11:34AM EDT	Down 0.03 (5.21%)	714,715
BFE.MI	Banca Finnat Euramerica S.p.A.	0.4589 11:25AM EDT	Down 0.0110 (2.34%)	259,958
BLZ.MI	Bolzoni SpA	3.27 11:25AM EDT	Down 0.29 (8.20%)	40,819
BRE.MI	Brembo SpA	34.96 11:25AM EDT	Down 1.30 (3.59%)	283,609
BSS.MI	Biesse S.p.A.	14.40 11:25AM EDT	Down 0.78 (5.14%)	180,083
CAD.MI	CAD IT SpA	4.0420 11:25AM EDT	Down 0.0680 (1.65%)	3,845
CAI.MI	Cairo Communication SpA	4.12 11:38AM EDT	Down 0.14 (3.20%)	187,852
CEM.MI	Cementir Holding SpA	5.37 11:25AM EDT	Down 0.26 (4.53%)	235,552
CLT.MI	Centrale del Latte di Torino & C. S.p.A.	3.12 11:25AM EDT	Down 0.23 (6.87%)	72,005
CMB.MI	Cembre S.p.A.	12.96 11:25AM EDT	Down 0.34 (2.56%)	12,596
DA.MI	DADA SpA	2.5880 11:36AM EDT	Down 0.0460 (1.75%)	10,091
DAL.MI	Datalogic SpA	12.91 11:25AM EDT	Down 0.39 (2.93%)	71,152
DEA.MI	DeA Capital S.p.A.	1.2650 11:25AM EDT	Down 0.0750 (5.60%)	409,681
DIB.MI	Digital Bros S.p.A.	9.22 11:25AM EDT	Down 1.10 (10.66%)	134,236
DIS.MI	D'Amico International Shipping S.A.	0.6550 11:25AM EDT	Down 0.0155 (2.31%)	3,470,272
EIT.MI	EI TOWERS	54.45 11:25AM EDT	Down 1.20 (2.16%)	30,660
ELC.MI	Elica SpA	1.8770 11:25AM EDT	Down 0.0080 (0.42%)	140,188
ELN.MI	EL.EN. SocietÃ  per Azioni	37.64 11:25AM EDT	Down 2.37 (5.92%)	25,415
EM.MI	Emak SpA	0.8150 11:25AM EDT	Up 0.0040(0.49%)	134,417
ENG.MI	Engineering Ingegneria Informatica S.p.A.	51.20 11:25AM EDT	Down 1.80 (3.40%)	27,471
ETH.MI	Eurotech SpA	1.6150 11:25AM EDT	Down 0.0390 (2.36%)	129,197
FDA.MI	FIDIA SpA	6.18 11:25AM EDT	Down 0.22 (3.44%)	40,213
FKR.MI	FALCK RENEWABLES	1.07 11:25AM EDT	Down 0.05 (4.55%)	1,139,408
FM.MI	Fiera Milano SpA.	4.31 11:25AM EDT	Down 0.38 (8.10%)	84,121
GE.MI	Gefran SpA	2.8040 11:25AM EDT	Down 0.1440 (4.88%)	16,179
IF.MI	Banca IFIS SpA	19.51 11:34AM EDT	Down 1.38 (6.61%)	97,216
IGD.MI	Immobiliare Grande Distribuzione Società di Investimento Immobiliare Quotata S.p.A. 	0.7865 11:25AM EDT	Down 0.0560 (6.65%)	1,328,938
IMA.MI	I.M.A. Industria Macchine Automatiche S.p.A.	38.78 11:25AM EDT	Down 0.84 (2.12%)	104,298
IP.MI	Interpump Group SpA	11.71 11:25AM EDT	Down 0.12 (1.01%)	591,585
IRC.MI	Irce SpA	1.9580 11:25AM EDT	Down 0.1080 (5.23%)	21,718
ISG.MI	Isagro S.p.A.	1.53 11:25AM EDT	Down 0.11 (6.76%)	57,387
ISGS.MI	Isagro S.p.A.	1.0990 11:25AM EDT	Down 0.0310 (2.74%)	20,150
ITW.MI	Itway S.p.A.	1.7640 11:25AM EDT	Down 0.04 (2.22%)	8,361
LD.MI	La Doria SpA	10.35 11:25AM EDT	Down 0.73 (6.59%)	123,183
LR.MI	Landi Renzo S.p.A.	0.7515 11:25AM EDT	Down 0.0590 (7.28%)	582,583
MARR.MI	MARR SpA	16.00 11:25AM EDT	Down 0.80 (4.76%)	118,564
MOL.MI	Gruppo MutuiOnline S.p.A	7.05 11:25AM EDT	Down 0.36 (4.86%)	91,889
MSK.MI	Moleskine SpA	1.5720 11:25AM EDT	Down 0.0470 (2.90%)	970,664
MTV.MI	MONDO TV S.p.A.	2.3180 11:25AM EDT	Down 0.1240 (5.08%)	432,367
MZB.MI	Massimo Zanetti Beverage Group S.p.A.	9.20 11:34AM EDT	Down 1.04 (10.16%)	170,493
NICE.MI	Nice SpA	2.57 11:25AM EDT	Down 0.07 (2.65%)	13,488
PAN.MI	Panariagroup Industrie Ceramiche S.p.A.	2.5580 11:25AM EDT	Down 0.0920 (3.47%)	61,848
PRI.MI	Prima Industrie SpA	14.62 11:25AM EDT	Down 0.68 (4.44%)	27,817
PRT.MI	Esprinet SpA	7.10 11:25AM EDT	Down 0.29 (3.86%)	358,302
PSF.MI	Poligrafica San Faustino SpA	6.15 11:25AM EDT	Down 0.34 (5.17%)	2,126
REY.MI	Reply S.p.A.	90.50 11:25AM EDT	Down 4.50 (4.74%)	39,630
RM.MI	Reno de Medici SpA	0.3191 11:34AM EDT	Down 0.0234 (6.83%)	971,836
SAB.MI	Sabaf SpA	11.50 11:25AM EDT	Down 0.50 (4.17%)	25,697
SES.MI	SeSa S.p.A.	13.95 11:34AM EDT	Down 0.79 (5.36%)	8,625
SG.MI	SAES Getters SpA	7.32 11:25AM EDT	Down 0.39 (5.12%)	54,878
SGR.MI	SAES Getters SpA	6.74 11:25AM EDT	Down 0.21 (3.02%)	39,330
SO.MI	Sogefi SpA	2.05 11:25AM EDT	Down 0.18 (7.91%)	929,773
SRI.MI	Servizi Italia S.p.A.	3.95 11:25AM EDT	Down 0.21 (5.05%)	25,973
STS.MI	Ansaldo STS SpA	9.45 11:25AM EDT	Down 0.03 (0.37%)	5,162,779
TER.MI	TerniEnergia SpA	1.5570 11:25AM EDT	Down 0.1230 (7.32%)	115,364
TES.MI	Tesmec S.p.A.	0.68 11:25AM EDT	Down 0.03 (4.23%)	481,422
TIP.MI	Tamburi Investment Partners S.p.A.	3.28 11:25AM EDT	Down 0.11 (3.13%)	410,496
TXT.MI	TXT e-solutions S.p.A.	7.50 11:25AM EDT	Down 0.21 (2.72%)	41,304
VAS.MI	Vittoria Assicurazioni SpA	9.42 11:25AM EDT	Down 0.38 (3.88%)	16,462
XPR.MI	Exprivia SpA	0.7670 11:25AM EDT	Down 0.0470 (5.77%)	272,080
YOOX.MI	YOOX S.p.A.	25.54 11:36AM EDT	Down 1.87 (6.82%)	1,155,028
ZV.MI	Zignago Vetro S.p.A.	5.20 11:25AM EDT	Down 0.15 (2.80%)	60,969
